Exposure,Outcome,warning
Operative procedures - main OPCS: T81.2 Biopsy of neuromuscular junction || id:UKB-b:684,Chang et al. 2017,lowcase
Diagnoses - main ICD10: M84.03 Malunion of fracture (Forearm) || id:UKB-b:685,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - main ICD10: M84.03 Malunion of fracture (Forearm) || id:UKB-b:685,Chang et al. 2017,snp+lowcase
Diagnoses - secondary ICD10: R94.2 Abnormal results of pulmonary function studies || id:UKB-b:687,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: R94.2 Abnormal results of pulmonary function studies || id:UKB-b:687,Chang et al. 2017,lowcase
Diagnoses - secondary ICD9: E8809 Fall on or from other stairs or steps || id:UKB-b:688,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD9: E8809 Fall on or from other stairs or steps || id:UKB-b:688,Chang et al. 2017,lowcase
PCT responsible for patient data: TOWER HAMLETS PCT || id:UKB-b:689,Nalls et al. 2019 (clinically diagnosed cases),snp
PCT responsible for patient data: TOWER HAMLETS PCT || id:UKB-b:689,Chang et al. 2017,snp
Operative procedures - secondary OPCS: A62.4 Primary microsurgical repair of peripheral nerve NEC || id:UKB-b:690,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: A62.4 Primary microsurgical repair of peripheral nerve NEC || id:UKB-b:690,Chang et al. 2017,lowcase
Diagnoses - main ICD10: S42.2 Fracture of upper end of humerus || id:UKB-b:692,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - main ICD10: S42.2 Fracture of upper end of humerus || id:UKB-b:692,Chang et al. 2017,snp+lowcase
Diagnoses - main ICD10: S42.2 Fracture of upper end of humerus || id:UKB-b:692,Nalls et al. 2014,snp+lowcase
Diagnoses - secondary ICD10: S32.40 Fracture of acetabulum (closed) || id:UKB-b:694,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: S32.40 Fracture of acetabulum (closed) || id:UKB-b:694,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: S32.40 Fracture of acetabulum (closed) || id:UKB-b:694,Nalls et al. 2014,lowcase
"Diagnoses - secondary ICD10: M18.9 Arthrosis of first carpometacarpal joint,unspecified || id:UKB-b:695",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - secondary ICD10: M18.9 Arthrosis of first carpometacarpal joint, unspecified || id:UKB-b:695",Chang et al. 2017,snp+lowcase
"Diagnoses - secondary ICD10: M18.9 Arthrosis of first carpometacarpal joint, unspecified || id:UKB-b:695",Nalls et al. 2014,snp+lowcase
Diagnoses - main ICD10: C67.4 Posterior wall of bladder || id:UKB-b:696,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - main ICD10: C67.4 Posterior wall of bladder || id:UKB-b:696,Chang et al. 2017,snp+lowcase
Diagnoses - main ICD10: C67.4 Posterior wall of bladder || id:UKB-b:696,Nalls et al. 2014,snp+lowcase
Operative procedures - main OPCS: A20.3 Monitoring of pressure in ventricle of brain || id:UKB-b:697,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: A20.3 Monitoring of pressure in ventricle of brain || id:UKB-b:697,Chang et al. 2017,lowcase
Operative procedures - main OPCS: A20.3 Monitoring of pressure in ventricle of brain || id:UKB-b:697,Nalls et al. 2014,lowcase
"How are people in household related to participant: Husband,wife or partner || id:UKB-b:698",Nalls et al. 2019 (clinically diagnosed cases),snp
"How are people in household related to participant: Husband, wife or partner || id:UKB-b:698",Chang et al. 2017,snp
"How are people in household related to participant: Husband, wife or partner || id:UKB-b:698",Nalls et al. 2014,snp
Operative procedures - main OPCS: K25.8 Other specified plastic repair of mitral valve || id:UKB-b:699,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: K25.8 Other specified plastic repair of mitral valve || id:UKB-b:699,Chang et al. 2017,lowcase
Operative procedures - main OPCS: K25.8 Other specified plastic repair of mitral valve || id:UKB-b:699,Nalls et al. 2014,lowcase
"Diagnoses - secondary ICD10: M65.94 Synovitis and tenosynovitis,unspecified (Hand) || id:UKB-b:7",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - secondary ICD10: M65.94 Synovitis and tenosynovitis, unspecified (Hand) || id:UKB-b:7",Chang et al. 2017,lowcase
"Diagnoses - secondary ICD10: M65.94 Synovitis and tenosynovitis, unspecified (Hand) || id:UKB-b:7",Nalls et al. 2014,lowcase
Diagnoses - main ICD10: M15.1 Heberden's nodes (with arthropathy) || id:UKB-b:70,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: M15.1 Heberden's nodes (with arthropathy) || id:UKB-b:70,Chang et al. 2017,lowcase
Diagnoses - main ICD10: M15.1 Heberden's nodes (with arthropathy) || id:UKB-b:70,Nalls et al. 2014,lowcase
Diagnoses - main ICD10: G61.0 Guillain-Barre syndrome || id:UKB-b:700,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - main ICD10: G61.0 Guillain-Barre syndrome || id:UKB-b:700,Chang et al. 2017,snp+lowcase
Diagnoses - main ICD10: G61.0 Guillain-Barre syndrome || id:UKB-b:700,Nalls et al. 2014,snp+lowcase
Operative procedures - main OPCS: K68.2 Pericardiocentesis NEC || id:UKB-b:701,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: K68.2 Pericardiocentesis NEC || id:UKB-b:701,Chang et al. 2017,lowcase
Operative procedures - main OPCS: K68.2 Pericardiocentesis NEC || id:UKB-b:701,Nalls et al. 2014,lowcase
Operative procedures - main OPCS: D13.4 Attention to fixtures for bone anchored hearing prosthesis || id:UKB-b:702,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: D13.4 Attention to fixtures for bone anchored hearing prosthesis || id:UKB-b:702,Chang et al. 2017,lowcase
Operative procedures - main OPCS: D13.4 Attention to fixtures for bone anchored hearing prosthesis || id:UKB-b:702,Nalls et al. 2014,lowcase
Duration walking for pleasure || id:UKB-b:703,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - secondary ICD10: O86.4 Pyrexia of unknown origin following delivery || id:UKB-b:704,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: O86.4 Pyrexia of unknown origin following delivery || id:UKB-b:704,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: O86.4 Pyrexia of unknown origin following delivery || id:UKB-b:704,Nalls et al. 2014,lowcase
Operative procedures - secondary OPCS: V37.2 Posterior fusion of joint of cervical spine NEC || id:UKB-b:705,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: V37.2 Posterior fusion of joint of cervical spine NEC || id:UKB-b:705,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: V37.2 Posterior fusion of joint of cervical spine NEC || id:UKB-b:705,Nalls et al. 2014,lowcase
Diagnoses - main ICD10: M25.31 Other instability of joint (Shoulder region) || id:UKB-b:706,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: M25.31 Other instability of joint (Shoulder region) || id:UKB-b:706,Chang et al. 2017,lowcase
Diagnoses - main ICD10: M25.31 Other instability of joint (Shoulder region) || id:UKB-b:706,Nalls et al. 2014,lowcase
PCT where patients GP was registered: SWINDON PCT || id:UKB-b:708,Nalls et al. 2019 (clinically diagnosed cases),lowcase
PCT where patients GP was registered: SWINDON PCT || id:UKB-b:708,Chang et al. 2017,lowcase
Treatment/medication code: capsaicin 0.075% cream || id:UKB-b:709,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: capsaicin 0.075% cream || id:UKB-b:709,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: M47.26 Other spondylosis with radiculopathy (Lumbar region) || id:UKB-b:711,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: M47.26 Other spondylosis with radiculopathy (Lumbar region) || id:UKB-b:711,Chang et al. 2017,lowcase
Diagnoses - main ICD10: K04.6 Periapical abscess with sinus || id:UKB-b:714,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - main ICD10: K04.6 Periapical abscess with sinus || id:UKB-b:714,Chang et al. 2017,snp+lowcase
Diagnoses - main ICD10: M12.26 Villonodular synovitis (pigmented) (Lower leg) || id:UKB-b:715,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: M12.26 Villonodular synovitis (pigmented) (Lower leg) || id:UKB-b:715,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: I82.8 Embolism and thrombosis of other specified veins || id:UKB-b:716,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: I82.8 Embolism and thrombosis of other specified veins || id:UKB-b:716,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: Y54.1 Harvest of sural nerve || id:UKB-b:717,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: Y54.1 Harvest of sural nerve || id:UKB-b:717,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: Z36.3 Antenatal screening for malformations using ultrasound and other physical methods || id:UKB-b:718,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: Z36.3 Antenatal screening for malformations using ultrasound and other physical methods || id:UKB-b:718,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: I80.1 Phlebitis and thrombophlebitis of femoral vein || id:UKB-b:719,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: I80.1 Phlebitis and thrombophlebitis of femoral vein || id:UKB-b:719,Chang et al. 2017,lowcase
Diagnoses - main ICD10: L88 Pyoderma gangrenosum || id:UKB-b:72,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: L88 Pyoderma gangrenosum || id:UKB-b:72,Chang et al. 2017,lowcase
Treatment/medication code: dyazide tablet || id:UKB-b:721,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: dyazide tablet || id:UKB-b:721,Chang et al. 2017,lowcase
Treatment/medication code: mebeverine hcl+ispaghula 135mg/3.5g/sachet granules || id:UKB-b:722,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: mebeverine hcl+ispaghula 135mg/3.5g/sachet granules || id:UKB-b:722,Chang et al. 2017,lowcase
Operative procedures - main OPCS: O02.3 Percutaneous transluminal balloon assisted coil embolisation of single aneurysm of artery || id:UKB-b:723,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: O02.3 Percutaneous transluminal balloon assisted coil embolisation of single aneurysm of artery || id:UKB-b:723,Chang et al. 2017,lowcase
Diagnoses - main ICD10: M24.07 Loose body in joint (Ankle and foot) || id:UKB-b:724,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: M24.07 Loose body in joint (Ankle and foot) || id:UKB-b:724,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: Z72.8 Specified bone of arm or wrist NEC || id:UKB-b:725,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - secondary OPCS: Z72.8 Specified bone of arm or wrist NEC || id:UKB-b:725,Chang et al. 2017,snp+lowcase
Diagnoses - main ICD10: M62.66 Muscle strain (Lower leg) || id:UKB-b:726,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: M62.66 Muscle strain (Lower leg) || id:UKB-b:726,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: N10 Acute tubulo-interstitial nephritis || id:UKB-b:728,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: N10 Acute tubulo-interstitial nephritis || id:UKB-b:728,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: I65.0 Occlusion and stenosis of vertebral artery || id:UKB-b:733,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: I65.0 Occlusion and stenosis of vertebral artery || id:UKB-b:733,Chang et al. 2017,lowcase
Diagnoses - secondary ICD9: V103 Personal history of malignant neoplasm in breast || id:UKB-b:734,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD9: V103 Personal history of malignant neoplasm in breast || id:UKB-b:734,Chang et al. 2017,lowcase
Diagnoses - main ICD10: E27.8 Other specified disorders of adrenal gland || id:UKB-b:735,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: E27.8 Other specified disorders of adrenal gland || id:UKB-b:735,Chang et al. 2017,lowcase
External causes: W55.7 Farm || id:UKB-b:736,Nalls et al. 2019 (clinically diagnosed cases),lowcase
External causes: W55.7 Farm || id:UKB-b:736,Chang et al. 2017,lowcase
Operative procedures - main OPCS: X11.9 Unspecified amputation of toe || id:UKB-b:737,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: X11.9 Unspecified amputation of toe || id:UKB-b:737,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: S50.3 Insertion of inert substance into subcutaneous tissue NEC || id:UKB-b:738,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: S50.3 Insertion of inert substance into subcutaneous tissue NEC || id:UKB-b:738,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: F44.4 Excision of submandibular gland || id:UKB-b:740,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: F44.4 Excision of submandibular gland || id:UKB-b:740,Chang et al. 2017,lowcase
"Diagnoses - main ICD10: K35.8 Acute appendicitis,other and unspecified || id:UKB-b:741",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - main ICD10: K35.8 Acute appendicitis, other and unspecified || id:UKB-b:741",Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: U25.1 C14 urea helicobacter pylori breath test || id:UKB-b:742,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: U25.1 C14 urea helicobacter pylori breath test || id:UKB-b:742,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: R45.0 Nervousness || id:UKB-b:743,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: R45.0 Nervousness || id:UKB-b:743,Chang et al. 2017,lowcase
Operative procedures - main OPCS: X14.2 Anterior exenteration of pelvis || id:UKB-b:745,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: X14.2 Anterior exenteration of pelvis || id:UKB-b:745,Chang et al. 2017,lowcase
Diagnoses - main ICD10: N70.0 Acute salpingitis and oophoritis || id:UKB-b:746,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: N70.0 Acute salpingitis and oophoritis || id:UKB-b:746,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: Y43.4 Immunosuppressive agents || id:UKB-b:747,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: Y43.4 Immunosuppressive agents || id:UKB-b:747,Chang et al. 2017,lowcase
Filtered coffee intake || id:UKB-b:748,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - main ICD10: N83.0 Follicular cyst of ovary || id:UKB-b:749,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - main ICD10: N83.0 Follicular cyst of ovary || id:UKB-b:749,Chang et al. 2017,snp+lowcase
"Diagnoses - secondary ICD10: J98.9 Respiratory disorder,unspecified || id:UKB-b:75",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - secondary ICD10: J98.9 Respiratory disorder, unspecified || id:UKB-b:75",Chang et al. 2017,lowcase
Operative procedures - main OPCS: V22.4 Primary anterior corpectomy of cervical spine with reconstruction HFQ || id:UKB-b:750,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: V22.4 Primary anterior corpectomy of cervical spine with reconstruction HFQ || id:UKB-b:750,Chang et al. 2017,lowcase
Diagnoses - main ICD10: N30.1 Interstitial cystitis (chronic) || id:UKB-b:751,Chang et al. 2017,snp+lowcase
Operative procedures - main OPCS: H20.2 Fibreoptic endoscopic cauterisation of lesion of colon || id:UKB-b:752,Nalls et al. 2019 (clinically diagnosed cases),snp
Operative procedures - secondary OPCS: T05.4 Removal of wire from chest wall || id:UKB-b:753,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: T05.4 Removal of wire from chest wall || id:UKB-b:753,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: S13.2 Punch biopsy of lesion of skin NEC || id:UKB-b:754,Chang et al. 2017,snp
Operative procedures - main OPCS: P17.3 Marsupialisation of lesion of vagina || id:UKB-b:755,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: P17.3 Marsupialisation of lesion of vagina || id:UKB-b:755,Chang et al. 2017,lowcase
"Diagnoses - main ICD10: M24.83 Other specific joint derangements,not elsewhere classified (Forearm) || id:UKB-b:756",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - main ICD10: M24.83 Other specific joint derangements, not elsewhere classified (Forearm) || id:UKB-b:756",Chang et al. 2017,lowcase
Operative procedures - main OPCS: W12.8 Other specified angulation periarticular division of bone || id:UKB-b:757,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: W12.8 Other specified angulation periarticular division of bone || id:UKB-b:757,Chang et al. 2017,lowcase
Diagnoses - main ICD10: N30.3 Trigonitis || id:UKB-b:759,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - main ICD10: N30.3 Trigonitis || id:UKB-b:759,Chang et al. 2017,snp+lowcase
Diagnoses - main ICD9: 5608 Other intestinal obstruction || id:UKB-b:76,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD9: 5608 Other intestinal obstruction || id:UKB-b:76,Chang et al. 2017,lowcase
Type of fat/oil used in cooking: Cholesterol lowering soya margarine || id:UKB-b:760,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Type of fat/oil used in cooking: Cholesterol lowering soya margarine || id:UKB-b:760,Chang et al. 2017,lowcase
"Diagnoses - secondary ICD10: I67.1 Cerebral aneurysm,nonruptured || id:UKB-b:762",Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
"Diagnoses - secondary ICD10: I67.1 Cerebral aneurysm, nonruptured || id:UKB-b:762",Chang et al. 2017,snp+lowcase
Operative procedures - main OPCS: G78.4 Closure of perforation of ileum || id:UKB-b:763,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: G78.4 Closure of perforation of ileum || id:UKB-b:763,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: U10.2 Cardiac computed tomography angiography || id:UKB-b:764,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: U10.2 Cardiac computed tomography angiography || id:UKB-b:764,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: M43.6 Torticollis || id:UKB-b:765,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: M43.6 Torticollis || id:UKB-b:765,Chang et al. 2017,lowcase
"Diagnoses - main ICD10: K50.9 Crohn's disease,unspecified || id:UKB-b:766",Nalls et al. 2019 (clinically diagnosed cases),snp
"Diagnoses - main ICD10: K50.9 Crohn's disease, unspecified || id:UKB-b:766",Chang et al. 2017,snp
Operative procedures - main OPCS: Q22.3 Bilateral oophorectomy NEC || id:UKB-b:767,Chang et al. 2017,snp+lowcase
Operative procedures - main OPCS: W37.3 Revision of total prosthetic replacement of hip joint using cement || id:UKB-b:768,Nalls et al. 2019 (clinically diagnosed cases),snp
Operative procedures - main OPCS: W37.3 Revision of total prosthetic replacement of hip joint using cement || id:UKB-b:768,Chang et al. 2017,snp
Diagnoses - secondary ICD10: K04.8 Radicular cyst || id:UKB-b:77,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - secondary ICD10: K04.8 Radicular cyst || id:UKB-b:77,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: K04.8 Radicular cyst || id:UKB-b:77,Nalls et al. 2014,lowcase
"Non-cancer illness code,self-reported: typhoid fever || id:UKB-b:771",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Non-cancer illness code, self-reported: typhoid fever || id:UKB-b:771",Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: T34.2 Open drainage of pelvic abscess || id:UKB-b:772,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: T34.2 Open drainage of pelvic abscess || id:UKB-b:772,Chang et al. 2017,lowcase
Diagnoses - main ICD10: C83.7 Burkitt's tumour || id:UKB-b:774,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: C83.7 Burkitt's tumour || id:UKB-b:774,Chang et al. 2017,lowcase
Operative procedures - main OPCS: J03.1 Excision of lesion of liver NEC || id:UKB-b:775,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: J03.1 Excision of lesion of liver NEC || id:UKB-b:775,Chang et al. 2017,lowcase
Diagnoses - main ICD9: 8509 Concussion || id:UKB-b:776,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD9: 8509 Concussion || id:UKB-b:776,Chang et al. 2017,lowcase
Operative procedures - main OPCS: H15.9 Unspecified other exteriorisation of colon || id:UKB-b:777,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: H15.9 Unspecified other exteriorisation of colon || id:UKB-b:777,Chang et al. 2017,lowcase
Treatment/medication code: oxygen gas || id:UKB-b:778,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: oxygen gas || id:UKB-b:778,Chang et al. 2017,lowcase
Diagnoses - main ICD10: M75.2 Bicipital tendinitis || id:UKB-b:780,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: M75.2 Bicipital tendinitis || id:UKB-b:780,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: B27.9 Unspecified total excision of breast || id:UKB-b:781,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: B27.9 Unspecified total excision of breast || id:UKB-b:781,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: X34.2 Transfusion of plasma NEC || id:UKB-b:783,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: X34.2 Transfusion of plasma NEC || id:UKB-b:783,Chang et al. 2017,lowcase
Treatment/medication code: metoprolol tartrate+chlorthalidone 100mg/12.5mg tablet || id:UKB-b:784,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: metoprolol tartrate+chlorthalidone 100mg/12.5mg tablet || id:UKB-b:784,Chang et al. 2017,lowcase
Treatment/medication code: beclamide || id:UKB-b:785,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: beclamide || id:UKB-b:785,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: Z12.6 Peripheral nerve of leg NEC || id:UKB-b:786,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: Z12.6 Peripheral nerve of leg NEC || id:UKB-b:786,Chang et al. 2017,snp+lowcase
Operative procedures - secondary OPCS: T62.5 Injection into bursa || id:UKB-b:787,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - secondary OPCS: T62.5 Injection into bursa || id:UKB-b:787,Chang et al. 2017,snp+lowcase
Operative procedures - secondary OPCS: F26.8 Other specified other operations on tongue || id:UKB-b:788,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: F26.8 Other specified other operations on tongue || id:UKB-b:788,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: Y08.1 Laser excision of organ NOC || id:UKB-b:789,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - secondary OPCS: Y08.1 Laser excision of organ NOC || id:UKB-b:789,Chang et al. 2017,snp+lowcase
Operative procedures - secondary OPCS: W56.1 Primary interposition arthroplasty of metatarsophalangeal joint NEC || id:UKB-b:79,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: W56.1 Primary interposition arthroplasty of metatarsophalangeal joint NEC || id:UKB-b:79,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: Z70.3 Shaft of radius NEC || id:UKB-b:790,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: Z70.3 Shaft of radius NEC || id:UKB-b:790,Chang et al. 2017,lowcase
"Treatment/medication code: ergocalciferol 7.5mg(300,000units)/1ml injection || id:UKB-b:792",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Treatment/medication code: ergocalciferol 7.5mg(300,000units)/1ml injection || id:UKB-b:792",Chang et al. 2017,lowcase
Treatment/medication code: optrex eye drops || id:UKB-b:793,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: optrex eye drops || id:UKB-b:793,Chang et al. 2017,lowcase
Treatment/medication code: lipostat 10mg tablet || id:UKB-b:794,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: lipostat 10mg tablet || id:UKB-b:794,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: D10.3 Cortical mastoidectomy || id:UKB-b:795,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: D10.3 Cortical mastoidectomy || id:UKB-b:795,Chang et al. 2017,lowcase
Diagnoses - main ICD10: S61.7 Multiple open wounds of wrist and hand || id:UKB-b:796,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: S61.7 Multiple open wounds of wrist and hand || id:UKB-b:796,Chang et al. 2017,lowcase
Diagnoses - main ICD10: M77.5 Other enthesopathy of foot || id:UKB-b:797,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: M77.5 Other enthesopathy of foot || id:UKB-b:797,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: J00 Acute nasopharyngitis [common cold] || id:UKB-b:799,Nalls et al. 2019 (clinically diagnosed cases),snp
Diagnoses - secondary ICD10: J00 Acute nasopharyngitis [common cold] || id:UKB-b:799,Chang et al. 2017,snp
Diagnoses - main ICD10: J02.0 Streptococcal pharyngitis || id:UKB-b:8,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: J02.0 Streptococcal pharyngitis || id:UKB-b:8,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: C01 Malignant neoplasm of base of tongue || id:UKB-b:80,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: C01 Malignant neoplasm of base of tongue || id:UKB-b:80,Chang et al. 2017,lowcase
Diagnoses - main ICD10: D22.5 Melanocytic naevi of trunk || id:UKB-b:800,Nalls et al. 2019 (clinically diagnosed cases),snp
Diagnoses - main ICD10: D22.5 Melanocytic naevi of trunk || id:UKB-b:800,Chang et al. 2017,snp
Treatment/medication code: betaxolol || id:UKB-b:801,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: betaxolol || id:UKB-b:801,Chang et al. 2017,lowcase
Diagnoses - main ICD10: M06.37 Rheumatoid nodule (Ankle and foot) || id:UKB-b:802,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: M06.37 Rheumatoid nodule (Ankle and foot) || id:UKB-b:802,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: L83.2 Subfascial ligation of perforating vein of leg || id:UKB-b:803,Nalls et al. 2019 (clinically diagnosed cases),lowcase
